dest,AirTran,Alaska,American,Delta,Endeavor,Envoy,ExpressJet,Frontier,Hawaiian,JetBlue,SkyWest,United
Houston,8,12,6,11,7,4,8,8,10,2,10,8
Chicago,13,16,10,15,11,8,13,12,14,7,14,13
"Washington, DC",11,15,9,14,10,7,11,11,13,6,13,12
San Francisco,17,20,14,19,15,12,17,16,18,11,18,17
New York,18,22,16,21,17,14,18,18,20,12,20,18
