dest,American,Delta,Envoy,ExpressJet,Frontier,Hawaiian,JetBlue,SkyWest,United
Houston,6,11,4,8,8,10,2,10,8
Chicago,10,15,8,13,12,14,7,14,13
"Washington, DC",9,14,7,11,11,13,6,13,12
San Francisco,14,19,12,17,16,18,11,18,17
New York,16,21,14,18,18,20,12,20,18
