letter	frequency
MD-90	0.868
MD-88	0.866
717	0.862
757	0.825
A321	0.821
A319	0.820
DC-9	0.819
737	0.815
ERJ 170	0.801
767	0.798
EMB-145	0.776
A320	0.774
ERJ 190	0.768
CL-600	0.767
777	0.743
